run_id,frame_idx,ts,eye_distance_px,face_height_px,face_area_ratio,head_tilt_h,head_tilt_v,label
2460d920,0,1756287907729,54,106,0.0293,85.6847,-0.0027,too_far
2460d920,1,1756287907785,56,111,0.0311,86.3922,-0.0014,too_far
2460d920,2,1756287907810,56,112,0.0317,86.9341,0.0008,too_far
2460d920,3,1756287907846,56,111,0.0321,86.3922,-0.0015,too_far
2460d920,4,1756287907881,56,111,0.0321,86.3922,0.0009,too_far
2460d920,5,1756287907912,56,111,0.0321,86.3922,0.0005,too_far
2460d920,6,1756287907944,56,111,0.0317,86.3922,0.002,too_far
2460d920,7,1756287907975,56,111,0.0317,86.3922,0.0005,too_far
2460d920,8,1756287908007,56,111,0.0317,86.3922,0.0016,too_far
2460d920,9,1756287908040,56,111,0.0317,86.3922,0.0003,too_far
2460d920,10,1756287908066,56,111,0.0317,86.3922,0.0013,too_far
2460d920,11,1756287908104,56,111,0.0317,86.3922,0.0012,too_far
2460d920,12,1756287908153,56,112,0.032,86.4243,0.0023,too_far
2460d920,13,1756287908180,56,112,0.032,86.4243,0.0019,too_far
2460d920,14,1756287908213,56,112,0.0317,86.9341,0.0028,too_far
2460d920,15,1756287908245,56,112,0.0321,86.4243,0.0033,too_far
2460d920,16,1756287908278,56,112,0.0317,86.4243,0.001,too_far
2460d920,17,1756287908312,55,112,0.0317,85.9151,0.0019,too_far
2460d920,18,1756287908344,55,112,0.0317,85.9151,0.0027,too_far
2460d920,19,1756287908376,55,112,0.0317,85.9151,0.0036,too_far
2460d920,20,1756287908387,56,112,0.0317,85.9151,0.0037,too_far
2460d920,21,1756287908444,56,112,0.0321,85.9151,0.003,too_far
2460d920,22,1756287908490,56,112,0.0317,85.9151,0.0016,too_far
2460d920,23,1756287908524,56,112,0.0321,86.4243,0.0009,too_far
2460d920,24,1756287908548,56,112,0.0321,85.9151,0.0025,too_far
2460d920,25,1756287908579,56,112,0.0321,85.9151,0.0032,too_far
2460d920,26,1756287908616,56,112,0.0321,86.4243,0.0027,too_far
2460d920,27,1756287908645,56,112,0.0321,86.4243,0.0028,too_far
2460d920,28,1756287908679,56,111,0.0321,86.3922,0.0032,too_far
2460d920,29,1756287908714,56,111,0.0317,86.3922,0.003,too_far
2460d920,30,1756287908735,56,111,0.0317,86.3922,0.0029,too_far
2460d920,31,1756287908767,56,111,0.0317,86.3922,0.0033,too_far
2460d920,32,1756287908801,56,111,0.0317,86.3922,0.0029,too_far
2460d920,33,1756287908829,56,111,0.0317,86.3922,0.0022,too_far
2460d920,34,1756287908882,56,112,0.0324,86.4243,0.0026,too_far
2460d920,35,1756287908916,56,111,0.0321,86.3922,0.0028,too_far
2460d920,36,1756287908948,56,111,0.0321,86.3922,0.0027,too_far
