run_id,frame_idx,ts,eye_distance_px,face_height_px,face_area_ratio,head_tilt_h,head_tilt_v,label
43132a0f,0,1756288003580,76,149,0.0575,84.6331,0.0268,head_down
43132a0f,1,1756288003648,75,150,0.0575,84.6686,0.0249,head_down
43132a0f,2,1756288003668,75,151,0.0574,84.7038,0.0252,head_down
43132a0f,3,1756288003690,75,151,0.0579,84.3278,0.0221,head_down
43132a0f,4,1756288003711,76,151,0.0579,84.3278,0.0258,head_down
43132a0f,5,1756288003747,75,151,0.0579,84.3278,0.0254,head_down
43132a0f,6,1756288003779,75,151,0.0579,84.3278,0.0252,head_down
43132a0f,7,1756288003812,75,152,0.0583,84.3649,0.0259,head_down
43132a0f,8,1756288003846,75,153,0.0595,84.0308,0.0334,head_down
43132a0f,9,1756288003875,76,153,0.0604,84.0308,0.037,head_down
43132a0f,10,1756288003907,76,153,0.0597,84.0308,0.0416,head_down
43132a0f,11,1756288003941,76,152,0.0597,83.9918,0.0463,head_down
43132a0f,12,1756288003991,77,152,0.0593,83.9918,0.0476,head_down
43132a0f,13,1756288004019,77,153,0.0597,84.0308,0.0469,head_down
43132a0f,14,1756288004054,76,153,0.0597,84.0308,0.0495,head_down
43132a0f,15,1756288004085,77,152,0.0598,85.1124,0.0519,head_down
43132a0f,16,1756288004116,76,151,0.0584,85.0802,0.0525,head_down
43132a0f,17,1756288004144,76,150,0.058,85.4268,0.053,head_down
43132a0f,18,1756288004181,76,150,0.058,85.4268,0.0536,head_down
43132a0f,19,1756288004214,75,149,0.0571,85.0145,0.0568,head_down
43132a0f,20,1756288004234,75,149,0.0571,85.3963,0.0581,head_down
43132a0f,21,1756288004247,76,149,0.0571,84.6331,0.0539,head_down
43132a0f,22,1756288004335,75,148,0.0567,84.9809,0.0588,head_down
43132a0f,23,1756288004364,75,148,0.0571,84.9809,0.0594,head_down
43132a0f,24,1756288004390,74,147,0.0559,84.947,0.0602,head_down
43132a0f,25,1756288004418,75,147,0.0559,84.947,0.0607,head_down
43132a0f,26,1756288004454,75,146,0.056,84.9125,0.0616,head_down
43132a0f,27,1756288004483,74,147,0.0554,84.947,0.0622,head_down
43132a0f,28,1756288004518,75,146,0.0555,85.3021,0.0646,head_down
43132a0f,29,1756288004550,75,146,0.0555,85.3021,0.063,head_down
43132a0f,30,1756288004579,75,146,0.055,85.3021,0.0626,head_down
43132a0f,31,1756288004591,75,147,0.0554,85.3339,0.0617,head_down
43132a0f,32,1756288004608,75,146,0.0555,85.3021,0.0629,head_down
43132a0f,33,1756288004663,74,146,0.0559,85.6921,0.0611,head_down
43132a0f,34,1756288004719,75,145,0.0555,85.2698,0.067,head_down
43132a0f,35,1756288004752,76,145,0.0555,85.2698,0.0699,head_down
43132a0f,36,1756288004785,76,146,0.0555,85.3021,0.0689,head_down
43132a0f,37,1756288004820,76,146,0.0555,85.3021,0.0718,head_down
43132a0f,38,1756288004849,76,146,0.056,85.3021,0.0695,head_down
43132a0f,39,1756288004882,76,147,0.0564,85.3339,0.0711,head_down
43132a0f,40,1756288004899,76,147,0.0564,85.3339,0.0715,head_down
43132a0f,41,1756288004915,76,146,0.056,85.6921,0.0731,head_down
43132a0f,42,1756288004946,76,147,0.0564,84.947,0.0726,head_down
43132a0f,43,1756288004995,76,146,0.0555,85.3021,0.0724,head_down
43132a0f,44,1756288005032,77,146,0.056,85.6921,0.0738,head_down
43132a0f,45,1756288005061,76,146,0.056,85.3021,0.0758,head_down
43132a0f,46,1756288005133,77,146,0.0565,85.6921,0.0752,head_down
43132a0f,47,1756288005157,76,147,0.0568,85.7213,0.074,head_down
43132a0f,48,1756288005192,76,148,0.0572,85.7501,0.0725,head_down
43132a0f,49,1756288005222,77,147,0.0564,85.7213,0.073,head_down
43132a0f,50,1756288005244,77,147,0.0564,85.7213,0.0713,head_down
43132a0f,51,1756288005258,77,147,0.0568,85.7213,0.0741,head_down
43132a0f,52,1756288005282,77,147,0.0568,86.109,0.0742,head_down
43132a0f,53,1756288005336,76,148,0.0572,86.1352,0.0686,head_down
